hex,name,red,green,blue,hue,saturation,lightness,contrast_ratio,contrast_color
#FFEFC1,"Egg White",255,239,193,45,-0.1390134529148,224,18,#d3d3d3
#625119,"West Coast",98,81,25,46,-0.60330578512397,61.5,2,#d3d3d3
#E5D8AF,Hampton,229,216,175,46,-0.13432835820896,202,14,#d3d3d3
#F7F2E1,"Quarter Spanish White",247,242,225,46,-0.046808510638298,236,18,#d3d3d3
#FED85D,Dandelion,254,216,93,46,-0.46666666666667,173.5,15,#d3d3d3
#FFF9E6,"Early Dawn",255,249,230,46,-0.05175983436853,242.5,19,#d3d3d3
#4D400F,Bronzetone,77,64,15,47,-0.68888888888889,46,1,#d3d3d3
#716B56,Peat,113,107,86,47,-0.13705583756345,99.5,3,#d3d3d3
#736D58,Crocodile,115,109,88,47,-0.13432835820896,101.5,4,#d3d3d3
#9F821C,"Reef Gold",159,130,28,47,-0.70810810810811,93.5,5,#d3d3d3
#C8A528,"Hokey Pokey",200,165,40,47,-0.67226890756303,120,9,#d3d3d3
#F3E7BB,Sidecar,243,231,187,47,-0.13084112149533,215,17,#d3d3d3
#FED33C,"Bright Sun",254,211,60,47,-0.62179487179487,157,14,#d3d3d3
#FEF2C7,Beeswax,254,242,199,47,-0.1219512195122,226.5,18,#d3d3d3
#FEF7DE,"Half Dutch White",254,247,222,47,-0.067510548523207,238,19,#d3d3d3
#FEF8E2,Solitaire,254,248,226,47,-0.058577405857741,240,19,#d3d3d3
#FFC901,Supernova,255,201,1,47,-1,128,13,#d3d3d3
#FFDB58,Mustard,255,219,88,47,-0.48973607038123,171.5,15,#d3d3d3
#FFF4CE,"Barley White",255,244,206,47,-0.10675381263617,230.5,19,#d3d3d3
#FFF6D4,"Milk Punch",255,246,212,47,-0.09247311827957,233.5,19,#d3d3d3
#FFCC00,"Light Pink",255,204,0,48,-1.0079051383399,127.5,14,#d3d3d3
#5D5C58,Chicago,93,92,88,48,-0.027932960893855,90.5,3,#d3d3d3
#676662,"Ironside Gray",103,102,98,48,-0.025125628140704,100.5,3,#d3d3d3
#A9A491,"Gray Olive",169,164,145,48,-0.076923076923077,157,8,#d3d3d3
#B7A458,Husk,183,164,88,48,-0.35315985130112,135.5,8,#d3d3d3
#C8B568,Laser,200,181,104,48,-0.31788079470199,152,10,#d3d3d3
#C9B35B,Sundance,201,179,91,48,-0.37931034482759,146,10,#d3d3d3
#CEC291,Yuma,206,194,145,48,-0.17478510028653,175.5,11,#d3d3d3
#DCB20C,Galliano,220,178,12,48,-0.90434782608696,116,10,#d3d3d3
#E4D69B,Zombie,228,214,155,48,-0.19160104986877,191.5,14,#d3d3d3
#FEF4CC,Pipi,254,244,204,48,-0.10964912280702,229,19,#d3d3d3
#FFF9E2,"Gin Fizz",255,249,226,48,-0.060542797494781,240.5,19,#d3d3d3
#302A0F,Woodrush,48,42,15,49,-0.54098360655738,31.5,1,#d3d3d3
#4E420C,"Bronze Olive",78,66,12,49,-0.75,45,2,#d3d3d3
#7B6608,"Yukon Gold",123,102,8,49,-0.89147286821705,65.5,3,#d3d3d3
#98811B,Hacienda,152,129,27,49,-0.70621468926554,89.5,5,#d3d3d3
#ACA586,Hillary,172,165,134,49,-0.125,153,8,#d3d3d3
#B6B095,"Heathered Gray",182,176,149,49,-0.10030395136778,165.5,9,#d3d3d3
#C6C3B5,Ash,198,195,181,49,-0.045092838196286,189.5,12,#d3d3d3
#CEC7A7,Chino,206,199,167,49,-0.10512129380054,186.5,12,#d3d3d3
#CFB53B,"Old Gold",207,181,59,49,-0.56060606060606,133,10,#d3d3d3
#DEBA13,"Gold Tips",222,186,19,49,-0.84937238493724,120.5,11,#d3d3d3
#E7BF05,Corn,231,191,5,49,-0.96581196581197,118,11,#d3d3d3
#F0DB7D,"Golden Sand",240,219,125,49,-0.3168044077135,182.5,15,#d3d3d3
#F0DC82,Buff,240,220,130,49,-0.29891304347826,185,15,#d3d3d3
#FCF4D0,"Double Pearl Lusta",252,244,208,49,-0.096069868995633,230,19,#d3d3d3
#FEF9E3,"Off Yellow",254,249,227,49,-0.056367432150313,240.5,19,#d3d3d3
#FFF1B5,Buttermilk,255,241,181,49,-0.1705069124424,218,18,#d3d3d3
#FFFCEE,"Island Spice",255,252,238,49,-0.034623217922607,246.5,20,#d3d3d3
#FFFDF4,"Quarter Pearl Lusta",255,253,244,49,-0.022132796780684,249.5,20,#d3d3d3
#6A5D1B,Himalaya,106,93,27,50,-0.6030534351145,66.5,3,#d3d3d3
#8A8360,"Clay Creek",138,131,96,50,-0.18103448275862,117,5,#d3d3d3
#8D8974,"Granite Green",141,137,116,50,-0.098039215686275,128.5,6,#d3d3d3
#C1A004,"Buddha Gold",193,160,4,50,-0.96923076923077,98.5,8,#d3d3d3
#DED4A4,Sapling,222,212,164,50,-0.15104166666667,193,14,#d3d3d3
#DFCD6F,Chenin,223,205,111,50,-0.33734939759036,167,13,#d3d3d3
#EEDC82,Flax,238,220,130,50,-0.29508196721311,184,15,#d3d3d3
#EEE3AD,"Double Colonial White",238,227,173,50,-0.15892420537897,205.5,16,#d3d3d3
#F3EDCF,Wheatfield,243,237,207,50,-0.080357142857143,225,17,#d3d3d3
#F5E7A2,Sandwisp,245,231,162,50,-0.20493827160494,203.5,16,#d3d3d3
#F8DD5C,"Energy Yellow",248,221,92,50,-0.46153846153846,170,15,#d3d3d3
#FDF6D3,"Half Colonial White",253,246,211,50,-0.090909090909091,232,19,#d3d3d3
#FFE772,Kournikova,255,231,114,50,-0.3841961852861,184.5,17,#d3d3d3
#FFEFA1,"Vis Vis",255,239,161,50,-0.22705314009662,208,18,#d3d3d3
#FFFDF3,"Orchid White",255,253,243,50,-0.024193548387097,249,20,#d3d3d3
#54534D,"Fuscous Gray",84,83,77,51,-0.044025157232704,80.5,2,#d3d3d3
#74640D,"Spicy Mustard",116,100,13,51,-0.81102362204724,64.5,3,#d3d3d3
#9A9577,Gurkha,154,149,119,51,-0.12915129151292,136.5,7,#d3d3d3
#D6C562,Tacha,214,197,98,51,-0.3741935483871,156,12,#d3d3d3
#FBEA8C,"Sweet Corn",251,234,140,51,-0.2853470437018,195.5,17,#d3d3d3
#FCD917,Candlelight,252,217,23,51,-0.83882783882784,137.5,15,#d3d3d3
#FFD700,Gold,255,215,0,51,-1.0079051383399,127.5,15,#d3d3d3
#FFD800,"School bus Yellow",255,216,0,51,-1.0079051383399,127.5,15,#d3d3d3
#FFF8D1,"Baja White",255,248,209,51,-0.0995670995671,232,19,#d3d3d3
#FFFCEA,"Buttery White",255,252,234,51,-0.043121149897331,244.5,20,#d3d3d3
#726D4E,"Go Ben",114,109,78,52,-0.18947368421053,96,4,#d3d3d3
#B3AF95,"Taupe Gray",179,175,149,52,-0.092024539877301,164,9,#d3d3d3
#B7A214,Sahara,183,162,20,52,-0.81094527363184,101.5,8,#d3d3d3
#E9D75A,Confetti,233,215,90,52,-0.44548286604361,161.5,14,#d3d3d3
#ECE090,"Wild Rice",236,224,144,52,-0.24338624338624,190,15,#d3d3d3
#F0D52D,"Golden Dream",240,213,45,52,-0.68904593639576,142.5,14,#d3d3d3
#F4D81C,"Ripe Lemon",244,216,28,52,-0.8,136,14,#d3d3d3
#F9E663,Portica,249,230,99,52,-0.43352601156069,174,16,#d3d3d3
#FBE870,"Marigold Yellow",251,232,112,52,-0.38504155124654,181.5,16,#d3d3d3
#FBE96C,Festival,251,233,108,52,-0.40056022408964,179.5,17,#d3d3d3
#AF9F1C,Lucky,175,159,28,53,-0.73134328358209,101.5,7,#d3d3d3
#C9B93B,"Earls Green",201,185,59,53,-0.55038759689922,130,10,#d3d3d3
#CABB48,Turmeric,202,187,72,53,-0.47794117647059,137,10,#d3d3d3
#E6E4D4,"Satin Linen",230,228,212,53,-0.040909090909091,221,16,#d3d3d3
#F5F3E5,"Ecru White",245,243,229,53,-0.033898305084746,237,18,#d3d3d3
#FCFBF3,Bianca,252,251,243,53,-0.018255578093306,247.5,20,#d3d3d3
#FEFCED,"Orange White",254,252,237,53,-0.034764826175869,245.5,20,#d3d3d3
#FFF39D,Picasso,255,243,157,53,-0.2390243902439,206,18,#d3d3d3
#FFFBDC,"Scotch Mist",255,251,220,53,-0.07399577167019,237.5,20,#d3d3d3
#FFFEF6,"Black White",255,254,246,53,-0.018036072144289,250.5,20,#d3d3d3
#A8A589,Tallow,168,165,137,54,-0.1023102310231,152.5,8,#d3d3d3
#AC9E22,"Lemon Ginger",172,158,34,54,-0.67647058823529,103,7,#d3d3d3
#F0E68C,Khaki,240,230,140,54,-0.26455026455026,190,16,#d3d3d3
#F1E788,"Sahara Sand",241,231,136,54,-0.28,188.5,16,#d3d3d3
#FBEC5D,"Candy Corn",251,236,93,54,-0.46198830409357,172,17,#d3d3d3
#FFFACD,"Lemon Chiffon",255,250,205,54,-0.10917030567686,230,19,#d3d3d3
#403D19,"Thatch Green",64,61,25,55,-0.44827586206897,44.5,1,#d3d3d3
#615D30,"Costa Del Sol",97,93,48,55,-0.34265734265734,72.5,3,#d3d3d3
#7C7631,Pesto,124,118,49,55,-0.43859649122807,86.5,4,#d3d3d3
#E4D422,Sunflower,228,212,34,55,-0.74615384615385,131,13,#d3d3d3
#EAE8D4,"White Rock",234,232,212,55,-0.04954954954955,223,17,#d3d3d3
#FAE600,Turbo,250,230,0,55,-1.008064516129,125,16,#d3d3d3
#FAF7D6,"Citrine White",250,247,214,55,-0.077922077922078,232,19,#d3d3d3
#FDE910,Lemon,253,233,16,55,-0.8876404494382,134.5,16,#d3d3d3
#FFEC13,Broom,255,236,19,55,-0.86764705882353,137,17,#d3d3d3
#FFF14F,Gorse,255,241,79,55,-0.53012048192771,167,17,#d3d3d3
#FFF46E,"Paris Daisy",255,244,110,55,-0.39944903581267,182.5,18,#d3d3d3
#FFFDE6,"Chilean Heath",255,253,230,55,-0.05175983436853,242.5,20,#d3d3d3
#FFFDE8,Travertine,255,253,232,55,-0.047422680412371,243.5,20,#d3d3d3
#3C3910,Camouflage,60,57,16,56,-0.59459459459459,38,1,#d3d3d3
#D5D195,"Winter Hazel",213,209,149,56,-0.17777777777778,181,13,#d3d3d3
#F1EEC1,"Mint Julep",241,238,193,56,-0.11111111111111,217,17,#d3d3d3
#FDF7AD,Drover,253,247,173,56,-0.18867924528302,213,19,#d3d3d3
#FFFEF0,"Rice Cake",255,254,240,56,-0.030425963488844,247.5,20,#d3d3d3
#6E6D57,Kokoda,110,109,87,57,-0.11794871794872,98.5,4,#d3d3d3
#858470,Bandicoot,133,132,112,57,-0.08641975308642,122.5,5,#d3d3d3
#CBCAB6,"Foggy Gray",203,202,182,57,-0.054830287206266,192.5,12,#d3d3d3
#CCCAA8,"Thistle Green",204,202,168,57,-0.097297297297297,186,12,#d3d3d3
#F9F8E4,"Rum Swizzle",249,248,228,57,-0.044210526315789,238.5,19,#d3d3d3
#FFFDD0,Cream,255,253,208,57,-0.10195227765727,231.5,20,#d3d3d3
#FFFEEC,"Apricot White",255,254,236,57,-0.038854805725971,245.5,20,#d3d3d3
#5E5D3B,Hemlock,94,93,59,58,-0.2317880794702,76.5,3,#d3d3d3
#716E10,Olivetone,113,110,16,58,-0.76377952755906,64.5,3,#d3d3d3
#908D39,Sycamore,144,141,57,58,-0.43718592964824,100.5,6,#d3d3d3
#B8B56A,Gimblet,184,181,106,58,-0.27083333333333,145,10,#d3d3d3
#D4CD16,"Bird Flower",212,205,22,58,-0.81896551724138,117,12,#d3d3d3
#DCD747,Wattle,220,215,71,58,-0.51557093425606,145.5,13,#d3d3d3
#DED717,Barberry,222,215,23,58,-0.81893004115226,122.5,13,#d3d3d3
#ECEBCE,"Aths Special",236,235,206,58,-0.068181818181818,221,17,#d3d3d3
#EDEA99,Primrose,237,234,153,58,-0.21649484536082,195,16,#d3d3d3
#F8F7DC,"Coconut Cream",248,247,220,58,-0.060085836909871,234,19,#d3d3d3
#FFFC99,"Witch Haze",255,252,153,58,-0.2512315270936,204,19,#d3d3d3
#FFFEE1,"Half and Half",255,254,225,58,-0.062761506276151,240,20,#d3d3d3
#B5B35C,"Olive Green",181,179,92,59,-0.32841328413284,136.5,9,#d3d3d3
#ECEBBD,"Fall Green",236,235,189,59,-0.11111111111111,212.5,17,#d3d3d3
#999966,"Dim Gray (or Grayish Brown)",153,153,102,60,-0.20158102766798,127.5,7,#d3d3d3
#FFFFCC,Ivory,255,255,204,60,-0.11159737417943,229.5,20,#d3d3d3
#333300,"Dark Green",51,51,0,60,-1.0408163265306,25.5,1,#d3d3d3
#CCCC00,"Olive Green",204,204,0,60,-1.009900990099,102,12,#d3d3d3
#666633,"Dark Olive Green",102,102,51,60,-0.33774834437086,76.5,3,#d3d3d3
#646463,"Storm Dust",100,100,99,60,-0.0050761421319797,99.5,3,#d3d3d3
#808000,Olive,128,128,0,60,-1.015873015873,64,5,#d3d3d3
#9F9F9C,"Star Dust",159,159,156,60,-0.0095846645367412,157.5,8,#d3d3d3
#A4A49D,Delta,164,164,157,60,-0.021943573667712,160.5,8,#d3d3d3
#C3C3BD,"Gray Nickel",195,195,189,60,-0.015706806282723,192,12,#d3d3d3
#C4C4BC,"Mist Gray",196,196,188,60,-0.020942408376963,192,12,#d3d3d3
#D6D6D1,"Quill Gray",214,214,209,60,-0.01187648456057,211.5,14,#d3d3d3
#EEEEE8,Cararra,238,238,232,60,-0.012820512820513,235,18,#d3d3d3
#F5F5DC,Beige,245,245,220,60,-0.053995680345572,232.5,19,#d3d3d3
#F8F8F7,"Desert Storm",248,248,247,60,-0.0020283975659229,247.5,19,#d3d3d3
#FFFF00,Yellow,255,255,0,60,-1.0079051383399,127.5,19,#d3d3d3
#FFFF66,"Laser Lemon",255,255,102,60,-0.43098591549296,178.5,19,#d3d3d3
#FFFF99,"Pale Canary",255,255,153,60,-0.2512315270936,204,20,#d3d3d3
#FFFFB4,Portafino,255,255,180,60,-0.17321016166282,217.5,20,#d3d3d3
#FFFFF0,Ivory,255,255,240,60,-0.030425963488844,247.5,20,#d3d3d3
#EEEF78,Manz,238,239,120,61,-0.33333333333333,179.5,17,#d3d3d3
#F8F99C,Texas,248,249,156,61,-0.23076923076923,202.5,19,#d3d3d3
#FDFEB8,"Pale Prim",253,254,184,61,-0.1605504587156,219,20,#d3d3d3
#5D5E37,Verdigris,93,94,55,62,-0.26530612244898,74.5,3,#d3d3d3
#ECF245,Starship,236,242,69,62,-0.55987055016181,155.5,17,#d3d3d3
#F5FB3D,"Golden Fizz",245,251,61,62,-0.61290322580645,156,18,#d3d3d3
#EEF0C8,"Tahuna Sands",238,240,200,63,-0.091324200913242,220,18,#d3d3d3
#F3FB62,Canary,243,251,98,63,-0.44092219020173,174.5,18,#d3d3d3
#F8FACD,"Corn Field",248,250,205,63,-0.099337748344371,227.5,19,#d3d3d3
#F9FF8B,Dolly,249,255,139,63,-0.29591836734694,197,19,#d3d3d3
#FAFFA4,Milan,250,255,164,63,-0.21822541966427,209.5,19,#d3d3d3
#FBFFBA,Shalimar,251,255,186,63,-0.15717539863326,220.5,20,#d3d3d3
#FCFEDA,"Moon Glow",252,254,218,63,-0.076595744680851,236,20,#d3d3d3
#FDFFD5,Cumulus,253,255,213,63,-0.090128755364807,234,20,#d3d3d3
#737829,Crete,115,120,41,64,-0.49685534591195,80.5,4,#d3d3d3
#BFC921,"Key Lime Pie",191,201,33,64,-0.72413793103448,117,11,#d3d3d3
#DCDDCC,"Moon Mist",220,221,204,64,-0.040189125295508,212.5,15,#d3d3d3
#555B10,Saratoga,85,91,16,65,-0.71428571428571,53.5,2,#d3d3d3
#9EA91F,Citron,158,169,31,65,-0.6969696969697,100,8,#d3d3d3
#B3C110,"La Rioja",179,193,16,65,-0.85507246376812,104.5,10,#d3d3d3
#778120,Pacifika,119,129,32,66,-0.61006289308176,80.5,5,#d3d3d3
#B8C25D,Celery,184,194,93,66,-0.35438596491228,143.5,11,#d3d3d3
#BBD009,"Rio Grande",187,208,9,66,-0.92558139534884,108.5,12,#d3d3d3
#C7CD90,"Pine Glade",199,205,144,66,-0.17579250720461,174.5,12,#d3d3d3
#CAE00D,"Bitter Lemon",202,224,13,66,-0.89787234042553,118.5,14,#d3d3d3
#D1E231,Pear,209,226,49,66,-0.64835164835165,137.5,14,#d3d3d3
#EEF3C3,Tusk,238,243,195,66,-0.11009174311927,219,18,#d3d3d3
#7C881A,"Trendy Green",124,136,26,67,-0.6875,81,5,#d3d3d3
#B9C46A,"Wild Willow",185,196,106,67,-0.3,151,11,#d3d3d3
#D2DA97,Deco,210,218,151,67,-0.18256130790191,184.5,14,#d3d3d3
#D9DCC1,Tana,217,220,193,67,-0.065693430656934,206.5,15,#d3d3d3
#F8FDD3,Mimosa,248,253,211,67,-0.090909090909091,232,20,#d3d3d3
#FAFDE4,"Hint of Yellow",250,253,228,67,-0.052192066805846,240.5,20,#d3d3d3
#363C0D,Waiouru,54,60,13,68,-0.66197183098592,36.5,1,#d3d3d3
#495400,"Verdun Green",73,84,0,68,-1.0243902439024,42,2,#d3d3d3
#4D5328,Woodland,77,83,40,68,-0.35537190082645,61.5,2,#d3d3d3
#626649,Finch,98,102,73,68,-0.16763005780347,87.5,3,#d3d3d3
#888D65,Avocado,136,141,101,68,-0.16666666666667,121,6,#d3d3d3
#D1D2CA,Celeste,209,210,202,68,-0.019512195121951,206,13,#d3d3d3
#DFFF00,"Chartreuse Yellow",223,255,0,68,-1.0079051383399,127.5,18,#d3d3d3
#EDFC84,Honeysuckle,237,252,132,68,-0.31413612565445,192,18,#d3d3d3
#FCFFE7,"China Ivory",252,255,231,68,-0.049586776859504,243,20,#d3d3d3
#868974,Bitter,134,137,116,69,-0.083665338645418,126.5,5,#d3d3d3
#BEDE0D,Fuego,190,222,13,69,-0.89699570815451,117.5,13,#d3d3d3
#C6E610,"Las Palmas",198,230,16,69,-0.87704918032787,123,14,#d3d3d3
#F5FFBE,"Australian Mint",245,255,190,69,-0.14672686230248,222.5,19,#d3d3d3
#657220,"Fern Frond",101,114,32,70,-0.56944444444444,73,4,#d3d3d3
#A4AF6E,"Green Smoke",164,175,110,70,-0.22968197879859,142.5,9,#d3d3d3
#EEFF9A,Jonquil,238,255,154,70,-0.24815724815725,204.5,19,#d3d3d3
#F1FFAD,Tidal,241,255,173,70,-0.1924882629108,214,19,#d3d3d3
#1C1E13,"Rangoon Green",28,30,19,71,-0.23404255319149,24.5,1,#d3d3d3
#788A25,Wasabi,120,138,37,71,-0.58381502890173,87.5,5,#d3d3d3
#B6BAA4,Eagle,182,186,164,71,-0.063218390804598,175,10,#d3d3d3
#C6C8BD,Kangaroo,198,200,189,71,-0.028423772609819,194.5,12,#d3d3d3
#DEE5C0,"Beryl Green",222,229,192,71,-0.088305489260143,210.5,16,#d3d3d3
#9B9E8F,"Lemon Grass",155,158,143,72,-0.050167224080268,150.5,7,#d3d3d3
#9DC209,Pistachio,157,194,9,72,-0.92039800995025,101.5,10,#d3d3d3
#A1C50A,Citrus,161,197,10,72,-0.91219512195122,103.5,10,#d3d3d3
#A5CB0C,Bahia,165,203,12,72,-0.89671361502347,107.5,11,#d3d3d3
#CCFF00,"Electric Lime",204,255,0,72,-1.0079051383399,127.5,17,#d3d3d3
#E3F988,Mindaro,227,249,136,72,-0.29503916449086,192.5,18,#d3d3d3
#F3FBD4,Orinoco,243,251,212,72,-0.084598698481562,231.5,19,#d3d3d3
#454936,Kelp,69,73,54,73,-0.152,63.5,2,#d3d3d3
#A8AF8E,Locust,168,175,142,73,-0.1047619047619,158.5,9,#d3d3d3
#7B8265,"Flax Smoke",123,130,101,74,-0.12663755458515,115.5,5,#d3d3d3
#9EA587,Sage,158,165,135,74,-0.1006711409396,150,8,#d3d3d3
#CBD3B0,"Green Mist",203,211,176,74,-0.090909090909091,193.5,13,#d3d3d3
#99CC00,"Chartreuse Yellow",153,204,0,75,-1.009900990099,102,11,#d3d3d3
#CCFF33,"Lime Green",204,255,51,75,-0.67105263157895,153,17,#d3d3d3
#2E3222,Rangitoto,46,50,34,75,-0.19512195121951,42,1,#d3d3d3
#B0E313,"Inch Worm",176,227,19,75,-0.85245901639344,123,13,#d3d3d3
#BFFF00,Lime,191,255,0,75,-1.0079051383399,127.5,17,#d3d3d3
#F1FFC8,Chiffon,241,255,200,75,-0.12141280353201,227.5,19,#d3d3d3
#F6FFDC,"Spring Sun",246,255,220,75,-0.07399577167019,237.5,20,#d3d3d3
#101405,"Green Waterloo",16,20,5,76,-0.65217391304348,12.5,1,#d3d3d3
#646A54,Siam,100,106,84,76,-0.11702127659574,95,3,#d3d3d3
#ACB78E,"Swamp Green",172,183,142,76,-0.12693498452012,162.5,10,#d3d3d3
#C5E17A,"Yellow Green",197,225,122,76,-0.29855072463768,173.5,14,#d3d3d3
#E8EBE0,"Green White",232,235,224,76,-0.024070021881838,229.5,17,#d3d3d3
#EEF4DE,Loafer,238,244,222,76,-0.047413793103448,233,18,#d3d3d3
#171F04,"Pine Tree",23,31,4,78,-0.81818181818182,17.5,1,#d3d3d3
#384910,Clover,56,73,16,78,-0.6551724137931,44.5,2,#d3d3d3
#6F9D02,Limeade,111,157,2,78,-0.98726114649682,79.5,6,#d3d3d3
#DCEDB4,Caper,220,237,180,78,-0.13734939759036,208.5,16,#d3d3d3
#F3FFD8,Carla,243,255,216,78,-0.083155650319829,235.5,20,#d3d3d3
#2A380B,"Turtle Green",42,56,11,79,-0.69230769230769,33.5,1,#d3d3d3
#87AB39,Sushi,135,171,57,79,-0.50442477876106,114,8,#d3d3d3
#E1E6D6,"Periglacial Blue",225,230,214,79,-0.036199095022624,222,16,#d3d3d3
#E8F1D4,"Chrome White",232,241,212,79,-0.06430155210643,226.5,18,#d3d3d3
#669900,"Moss Green",102,153,0,80,-1.0132450331126,76.5,6,#d3d3d3
#CCFF66,"Light Sky Blue",204,255,102,80,-0.43098591549296,178.5,18,#d3d3d3
#6B8E23,"Olive Drab",107,142,35,80,-0.61142857142857,88.5,5,#d3d3d3
#97CD2D,Atlantis,151,205,45,80,-0.64516129032258,125,11,#d3d3d3
#A8AE9C,Bud,168,174,156,80,-0.054878048780488,165,9,#d3d3d3
#ACDD4D,Conifer,172,221,77,80,-0.48648648648649,149,13,#d3d3d3
#EDF5DD,Frost,237,245,221,80,-0.051724137931034,233,18,#d3d3d3
#747D63,"Limed Ash",116,125,99,81,-0.11711711711712,112,4,#d3d3d3
#A9B497,Schist,169,180,151,83,-0.088145896656535,165.5,9,#d3d3d3
#C4D0B0,Coriander,196,208,176,83,-0.083769633507853,192,13,#d3d3d3
#ADFF2F,"Green Yellow",173,255,47,84,-0.69333333333333,151,17,#d3d3d3
#C1F07C,Sulu,193,240,124,84,-0.32044198895028,182,16,#d3d3d3
#242E16,"Black Olive",36,46,22,85,-0.36363636363636,34,1,#d3d3d3
#436A0D,"Green Leaf",67,106,13,85,-0.79487179487179,59.5,3,#d3d3d3
#E1EAD4,Kidnapper,225,234,212,85,-0.04954954954955,223,17,#d3d3d3
#67A712,Christi,103,167,18,86,-0.81420765027322,92.5,7,#d3d3d3
#76BD17,Lima,118,189,23,86,-0.79047619047619,106,9,#d3d3d3
#828F72,"Battleship Gray",130,143,114,87,-0.11372549019608,128.5,6,#d3d3d3
#9AB973,Olivine,154,185,115,87,-0.23489932885906,150,9,#d3d3d3
#242A1D,"Log Cabin",36,42,29,88,-0.18840579710145,35.5,1,#d3d3d3
#336600,"Dark Olive Green",51,102,0,90,-1.02,51,3,#d3d3d3
#CCFF99,"Light Sky Blue",204,255,153,90,-0.2512315270936,204,18,#d3d3d3
#99FF33,"Spring Green",153,255,51,90,-0.67105263157895,153,16,#d3d3d3
#549019,"Vida Loca",84,144,25,90,-0.7125748502994,84.5,5,#d3d3d3
#7FFF00,Chartreuse,127,255,0,90,-1.0079051383399,127.5,16,#d3d3d3
#83AA5D,"Chelsea Cucumber",131,170,93,90,-0.29501915708812,131.5,8,#d3d3d3
#FCFFF9,Ceramic,252,255,249,90,-0.01195219123506,252,20,#d3d3d3
#78866B,"Camouflage Green",120,134,107,91,-0.11297071129707,120.5,5,#d3d3d3
#BDC8B3,"Clay Ash",189,200,179,91,-0.055702917771883,189.5,12,#d3d3d3
#0B1304,"Black Forest",11,19,4,92,-0.71428571428571,11.5,1,#d3d3d3
#161D10,"Hunter Green",22,29,16,92,-0.30232558139535,22.5,1,#d3d3d3
#396413,Dell,57,100,19,92,-0.69230769230769,59.5,2,#d3d3d3
#7BA05B,Asparagus,123,160,91,92,-0.27710843373494,125.5,7,#d3d3d3
#B9C8AC,Rainee,185,200,172,92,-0.075675675675676,186,12,#d3d3d3
#D2F8B0,Gossip,210,248,176,92,-0.17061611374408,212,17,#d3d3d3
#5D7747,Dingley,93,119,71,93,-0.25531914893617,95,4,#d3d3d3
#0B0F08,Marshland,11,15,8,94,-0.33333333333333,11.5,1,#d3d3d3
#25311C,"Green Kelp",37,49,28,94,-0.28,38.5,1,#d3d3d3
#B8C1B1,"Green Spring",184,193,177,94,-0.043478260869565,185,11,#d3d3d3
#C1D7B0,Sprout,193,215,176,94,-0.10025706940874,195.5,13,#d3d3d3
#182D09,"Deep Forest Green",24,45,9,95,-0.69230769230769,27,1,#d3d3d3
#C9FFA2,Reef,201,255,162,95,-0.22409638554217,208.5,18,#d3d3d3
#E4FFD1,"Snow Flurry",228,255,209,95,-0.0995670995671,232,19,#d3d3d3
#EEFFE2,"Rice Flower",238,255,226,95,-0.060542797494781,240.5,20,#d3d3d3
#0B1107,"Gordons Green",11,17,7,96,-0.45454545454545,12,1,#d3d3d3
#233418,Mallard,35,52,24,96,-0.37837837837838,38,1,#d3d3d3
#516E3D,"Chalet Green",81,110,61,96,-0.28994082840237,85.5,3,#d3d3d3
#66FF00,"Bright Green",102,255,0,96,-1.0079051383399,127.5,15,#d3d3d3
#65745D,"Willow Grove",101,116,93,99,-0.11111111111111,104.5,4,#d3d3d3
#99FF66,"Light Green",153,255,102,100,-0.43098591549296,178.5,16,#d3d3d3
#1B2F11,Seaweed,27,47,17,100,-0.48387096774194,32,1,#d3d3d3
#D0F0C0,"Tea Green",208,240,192,100,-0.11162790697674,216,17,#d3d3d3
#F0FCEA,Feta,240,252,234,100,-0.037190082644628,243,19,#d3d3d3
#F9FFF6,"Sugar Cane",249,255,246,100,-0.018036072144289,250.5,20,#d3d3d3
#24500F,"Green House",36,80,15,101,-0.6989247311828,47.5,2,#d3d3d3
#19330E,"Palm Leaf",25,51,14,102,-0.58730158730159,32.5,1,#d3d3d3
#2B3228,"Heavy Metal",43,50,40,102,-0.11363636363636,45,1,#d3d3d3
#A8BD9F,Norway,168,189,159,102,-0.086705202312139,174,10,#d3d3d3
#C0D8B6,"Pixie Green",192,216,182,102,-0.085858585858586,199,13,#d3d3d3
#327C14,Bilbao,50,124,20,103,-0.73239436619718,72,4,#d3d3d3
#368716,"La Palma",54,135,22,103,-0.72903225806452,78.5,4,#d3d3d3
#3F4C3A,"Cabbage Pont",63,76,58,103,-0.13636363636364,67,2,#d3d3d3
#6F8E63,Highland,111,142,99,103,-0.17991631799163,120.5,5,#d3d3d3
#DFECDA,"Willow Brook",223,236,218,103,-0.039823008849558,227,17,#d3d3d3
#C0D3B9,"Pale Leaf",192,211,185,104,-0.065989847715736,198,13,#d3d3d3
#66FF33,"Lime Yellow",102,255,51,105,-0.67105263157895,153,15,#d3d3d3
#3FFF00,Harlequin,63,255,0,105,-1.0079051383399,127.5,15,#d3d3d3
#4F7942,"Fern Green",79,121,66,106,-0.2972972972973,93.5,4,#d3d3d3
#9FDD8C,Feijoa,159,221,140,106,-0.22562674094708,180.5,13,#d3d3d3
#DAECD6,Zanah,218,236,214,109,-0.049107142857143,225,17,#d3d3d3
#4E6649,Axolotl,78,102,73,110,-0.16763005780347,87.5,3,#d3d3d3
