name,code
Aguascalientes,AGS
Baja California,BC
Baja California Sur,BCS
Campeche,CAMP
Chiapas,CHIS
Chihuahua,CHIH
Coahuila,COAH
Colima,COL
Distrito Federal,DF
Durango,DGO
Guanajuato,GTO
Guerrero,GRO
Hidalgo,HGO
Jalisco,JAL
México,EDM
Michoacán,MICH
Morelos,MOR
Nayarit,NAY
Nuevo León,NL
Oaxaca,OAX
Puebla,PUE
Querétaro,QRO
Quintana Roo,QROO
San Luis Potosi,SLP
Sinaloa,SIN
Sonora,SON
Tabasco,TAB
Tamaulipas,TAMPS
Tlaxcala,TLAX
Veracruz,VER
Yucatán,YUC
Zacatecas,ZAC
