name,code
Andhra Pradesh,AND
Assam,ASS
Bihar,BIH
Chhattisgarh,CHH
Delhi,DEL
Goa,GOA
Gujarat,GUJ
Haryana,HAR
Himachal Pradesh,HIM
Jammu & Kashmir,JAM
Jharkhand,JHA
Karnataka,KAR
Kerala,KER
Madhya Pradesh,MAD
Maharashtra,MAH
Meghalaya,MEG
Orissa,ORI
Pondicherry,PON
Punjab,PUN
Rajasthan,RAJ
Tamil Nadu,TAM
Uttar Pradesh,UTT
Uttaranchal,UTR
West Bengal,WES
