name,code
Anhui,ANH
Beijing,BEI
Chongqing,CHO
Fujian,FUJ
Gansu,GAN
Guangdong,GDG
Guangxi,GXI
Guizhou,GUI
Hainan,HAI
Hebei,HEB
Heilongjiang,HEI
Henan,HEN
Hubei,HUB
Hunan,HUN
Jiangsu,JSU
Jiangxi,JXI
Jilin,JIL
Liaoning,LIA
Nei Mongol,MON
Ningxia,NIN
Qinghai,QIN
Shaanxi,SHA
Shandong,SHD
Shanghai,SHH
Shanxi,SHX
Sichuan,SIC
Tianjin,TIA
Xinjiang,XIN
Xizang,XIZ
Yunnan,YUN
Zhejiang,ZHE
